"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2543","RT @kamaalrkhan: This #Corona is teaching to the world that matches of cricket and Football can be played without public in the stadium. Fi…",FALSE,0,NA,2020-10-19 20:53:52,FALSE,NA,"1318294315945242625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_shourya__",110,TRUE,FALSE,NA,NA
"2544","RT @kamaalrkhan: One of the top construction company of UAE #Arabtec which built #BurjKhalifa is closed because of #coronavirus and 20 thou…",FALSE,0,NA,2020-10-19 20:45:15,FALSE,NA,"1318292148718956545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vinodshadija",45,TRUE,FALSE,NA,NA
"2545","RT @kamaalrkhan: This #Corona is teaching to the world that matches of cricket and Football can be played without public in the stadium. Fi…",FALSE,0,NA,2020-10-19 20:34:02,FALSE,NA,"1318289325751103488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pyschochokri",110,TRUE,FALSE,NA,NA
"2546","RT @kamaalrkhan: This #Corona is teaching to the world that matches of cricket and Football can be played without public in the stadium. Fi…",FALSE,0,NA,2020-10-19 20:03:38,FALSE,NA,"1318281675520970753",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","charan96161963",110,TRUE,FALSE,NA,NA
"2547","RT @TeamSarwar: Our prayers for your quick recovery from #coronavirus . There seems to be a second wave of #Corona across the world &amp; we ur…",FALSE,0,NA,2020-10-19 20:02:06,FALSE,NA,"1318281288068063232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AYzaiTweets",3,TRUE,FALSE,NA,NA
"2548","RT @Bloodpointorg: #Hyderabad #SOS #COVID19India
Need B+ve/AB+ve #Blood  #plasma from #covidrecovery  patient
Illness #Corona
At KIMS #Secu…",FALSE,0,NA,2020-10-19 19:56:29,FALSE,NA,"1318279875896119297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","srisaiganeshb",8,TRUE,FALSE,NA,NA
"2549","RT @Bloodpointorg: #Ranchi #SOS #COVID19India
Need A+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Raj Hospital
Contact…",FALSE,0,NA,2020-10-19 19:56:15,FALSE,NA,"1318279817427517443",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","srisaiganeshb",9,TRUE,FALSE,NA,NA
"2550","RT @kamaalrkhan: This #Corona is teaching to the world that matches of cricket and Football can be played without public in the stadium. Fi…",FALSE,0,NA,2020-10-19 19:55:19,FALSE,NA,"1318279581791604739",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gggBEC",110,TRUE,FALSE,NA,NA
"2551","RT @DrPalakVermaINC: It’s important to keep yourself and others secured from #Corona .

Glimpses from Today’s mask distribution in Delhi.…",FALSE,0,NA,2020-10-19 19:07:59,FALSE,NA,"1318267671696134144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RAUF785578",27,TRUE,FALSE,NA,NA
"2552","RT @DrPalakVermaINC: It’s important to keep yourself and others secured from #Corona .

Glimpses from Today’s mask distribution in Delhi.…",FALSE,0,NA,2020-10-19 19:06:16,FALSE,NA,"1318267239368249345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","badera_vivekiyc",27,TRUE,FALSE,NA,NA
